Title;Authors;Year;Evaluation metrics;FM category;FM-metric mapping
Trust-Calibrated Multi-Stage Large Language Model Pipeline for Vulnerability Assessment in DevSecOps Workflows;Adiba Mahmud, Yasmeen Rawajfih, Ross Arnold;2025;Accuracy, Coverage, Expected Calibration Error (ECE), F1 Score, Precision, Recall;"- Hallucinations and False Positives
- Overconfidence and Calibration Failure
- Context Integration Failure
- Complex Vulnerability Blind Spots
- Weak Explainability
- Localization Failure
- Operational and Deployment Limits";"Hallucinations and False Positives: False Positives, Precision, False Positive Rate
Overconfidence and Calibration Failure: Expected Calibration Error
Context Integration Failure: F1-score, Precision, Recall
Complex Vulnerability Blind Spots: F1-score, Precision, Recall"
Finding Trojan Triggers in Code LLMs: An Occlusion-Based Human-in-the-Loop Approach;Aftab Hussain, Md Rafiqul Islam Rabin, Toufique Ahmed, Mohammad Amin Alipour, Bowen Xu, Stephen Huang;2025;"- F1 score
- Trigger identification rate
- Correct identification rate
- Time taken to locate triggers";"- Attention Hijacking and Poisoning
- Prompt Injection and Untrusted Input Manipulation
- Localization Failure
- Hallucinations and False Positives
- Complex Vulnerability Blind Spots
- Weak Explainability";"Prompt Injection and Untrusted Input Manipulation: F1 Score, Trigger Identification Rate
Localization Failure: qualitative only
Hallucinations and False Positives: F1 Score, Trigger Identification Rate"
Metamorphic Testing of Deep Code Models: A Systematic Literature Review;Ali Asgari, Milan De Koning, Milan de Koning, Pouria Derakhshanfar, Annibale Panichella;;"- F1 (all variants)
- Accuracy
- BLEU (all variants)
- Attack Success Rate (ASR) (all forms)
- ROUGE / ROUGE-L
- METEOR
- Precision
- Recall
- MRR (all forms)
- CodeBLEU
- Exact Match (all forms)
- Prediction Change Percentage
- Prediction Confidence Decrement (PCD)
- Delta-BLEU
- Gen-F1
- ROB-F1
- Pass@1 / Robust Pass@1
- Mutation Effectiveness
- AUROC
- Rate of Revealed Faults (RFR)";"- Transformation Sensitivity
- Technical Output Failure
- Operational and Deployment Limits
- Weak Explainability
- Training Data and Representation Bias
- Complex Vulnerability Blind Spots
- Secret Detection Blind Spots";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Localization Failure: qualitative only
Technical Output Failure: F1, Accuracy
Prompt Injection and Untrusted Input Manipulation: Attack Success Rate
Transformation Sensitivity: Attack Success Rate
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: qualitative only
Information and Secret Leakage in Model Outputs: qualitative only"
Enhancing Pull Request Reviews: Leveraging Large Language Models to Detect Inconsistencies Between Issues and Pull Requests;Ali Tunahan Işık, Hatice Kübra Çağlar, Eray Tüzün;2025;"- Accuracy
- Precision
- Recall
- Specificity
- F1 scores (micro, macro, and weighted averages)";"- Technical Output Failure
- Hallucinations and False Positives
- Context Integration Failure
- Transformation Sensitivity
- Training Data and Representation Bias";"Reasoning and Logic Blindness: Accuracy, Precision, Recall, Specificity, F1 scores
Hallucinations and False Positives: Accuracy, Precision, Recall, Specificity, F1 scores
Technical Output Failure: Accuracy, Precision, Recall, Specificity, F1 scores
Prompt Injection and Untrusted Input Manipulation: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Operational and Deployment Limits: qualitative only"
AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing;Ana Nunez, Nafis Tanveer Islam, S. Jha, Peyman Najafirad;2024;"- Reduction in code vulnerabilities by 13%
- Number of vulnerable code snippets detected by Bandit
- Performance of the Fuzzing Agent (crashes detected and fixed)
- Success rate of the static analyzer agent in correcting vulnerabilities
- Functional accuracy measured using the pass@k metric";"- Complex Vulnerability Blind Spots
- Secret Detection Blind Spots
- Reasoning and Logic Blindness
- Prompt Injection and Untrusted Input Manipulation
- Operational and Deployment Limits
- Technical Output Failure";"Technical Output Failure: Vulnerability Detection Rate, pass@k metric
Complex Vulnerability Blind Spots: Vulnerability Detection Rate
Operational and Deployment Limits: Crash Detection Rate, pass@k metric"
LLM Security Guard for Code;Arya Kavian, Mohammad Mehdi Pourhashem Kallehbasti, Sajjad Kazemi, Ehsan Firouzi, Mohammad Ghafari;2024;"- Performance score for each challenge
- Ranking of LLMs
- Quantity and severity of potential CWEs
- Time taken to complete each task
- Number of vulnerabilities
- Severity of vulnerabilities";"- Hallucinations and False Positives
- Technical Output Failure
- Overconfidence and Calibration Failure
- Complex Vulnerability Blind Spots
- Context Integration Failure";"Technical Output Failure: Performance Score, Benchmarking
Operational and Deployment Limits: Termination Condition, Benchmark Interval
Overconfidence and Calibration Failure: Performance Score"
Understanding the Effectiveness of Large Language Models in Detecting Security Vulnerabilities;Avishree Khare, Saikat Dutta, Ziyang Li, Alaia Solko-Breslin, R. Alur, Mayur Naik;2023;"- Accuracy
- Precision
- Recall
- F1 score
- Explainability
- Robustness";"- Reasoning and Logic Blindness
- Context Integration Failure
- Complex Vulnerability Blind Spots
- Weak Explainability
- Prompt Injection and Untrusted Input Manipulation
- Operational and Deployment Limits";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: False Positives, Precision
False-Positive Secret Detection: qualitative only
Localization Failure: Localization Accuracy, Top-k Accuracy
Technical Output Failure: qualitative only
Prompt Injection and Untrusted Input Manipulation: Attack Success Rate, Block Rate
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: qualitative only
Information and Secret Leakage in Model Outputs: qualitative only"
To Err is Machine: Vulnerability Detection Challenges LLM Reasoning;Benjamin Steenhoek, Md Mahbubur Rahman, Monoshi Kumar Roy, Mirza Sanjida Alam, Heng Tong, Swarna Das, Earl T. Barr, Wei Le;2024;Balanced Accuracy (vulnerability detection), Error Rate (failure to distinguish between buggy and fixed versions), Localization Accuracy (correct localization of bugs in DbgBench);"- Reasoning and Logic Blindness
- Localization Failure
- Hallucinations and False Positives
- Weak Explainability
- Complex Vulnerability Blind Spots";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: Balanced Accuracy
Localization Failure: Balanced Accuracy, Localization Accuracy
Technical Output Failure: qualitative only
Weak Explainability: qualitative only"
DeepCode AI Fix: Fixing Security Vulnerabilities with Large Language Models;Berkay Berabi, Alexey Gronskiy, Veselin Raychev, Gishor Sivanrupan, Victor Chibotaru, Martin T. Vechev;2024;"- Functional correctness (Pass@)
- Exact match to the target code (ExactMatch@)";"- Context Integration Failure
- Training Data and Representation Bias
- Technical Output Failure
- Operational and Deployment Limits
- Complex Vulnerability Blind Spots";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: Pass@, ExactMatch@
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Localization Failure: Pass@, ExactMatch@
Technical Output Failure: Pass@, ExactMatch@
Prompt Injection and Untrusted Input Manipulation: qualitative only
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: qualitative only
Information and Secret Leakage in Model Outputs: qualitative only"
Large Language Models Versus Static Code Analysis Tools: A Systematic Benchmark for Vulnerability Detection;Damian Gnieciak, Tomasz Szandala;2025;Precision, Recall, F1 Score, Analysis Latency, Developer Effort, False Positive Rate (FP);"- Context Integration Failure
- Hallucinations and False Positives
- Localization Failure
- Weak Explainability
- Operational and Deployment Limits";"Reasoning and Logic Blindness: Recall, F1 Score
Context Integration Failure: Recall, F1 Score
Hallucinations and False Positives: False Positives, Precision
Localization Failure: qualitative only
Weak Explainability: qualitative only
Complex Vulnerability Blind Spots: No clear FM-metric mapping reported
Operational and Deployment Limits: qualitative only"
